;name;author;narrator;time;releasedate;language;stars;price;ratings
255;A Fighting Chance;TatumWest;AlexanderCendese,TorThom;489;2019-07-24;English;5.0;469.0;1
256;Vergessene Träume;StefanZweig;JulianLübbers;15;2022-01-04;german;0.0;32.0;0
257;The Archivist;RexPickett;CarolineHewitt;1791;2021-11-09;English;0.0;1805.0;0
258;Face;JustineBateman;JustineBateman;326;2021-05-15;English;0.0;668.0;0
259;第82回 新刊ラジオ第2部プレミアム　;矢島雅弘,石橋遊;矢島雅弘,石橋遊;23;2015-05-25;japanese;0.0;139.0;0
260;Sweet Retribution;CallieRose;KasiHollowell;464;2021-02-02;English;0.0;668.0;0
261;第835回 新刊ラジオ第2部プレミアム　;矢島雅弘,石橋遊;矢島雅弘,石橋遊;17;2018-05-15;japanese;0.0;139.0;0
262;The Year Shakespeare Ruined My Life;DaniJansen;RebeccaAuerbach;469;2021-07-01;English;0.0;445.0;0
263;Nobody Knows;LaniLynnVale;VirginiaRose,MatthewMaddux;362;2020-12-01;English;0.0;668.0;0
264;Never Argue with a Dead Person;ThomasJohn;JeffCummings;352;2015-03-31;English;5.0;670.0;1
265;Buscapistas: El Caso De La Cueva Prohibida (Narración en Castellano) [Seekers: The Case of the Forbidden Cave];TeresaBlanch,JoséÁngelLabariIlundain;EvaColl,LolaSans,SarahMuñiz;54;2020-09-29;spanish;0.0;268.0;0
266;The Story of My Experiments with Truth: An Autobiography;M.K.Gandhi;SagarArya;1227;2019-10-02;English;4.5;1093.0;258
267;Uncanny;SarahFine;ScottMerriman,BaileyCarr;603;2017-10-03;English;0.0;469.0;0
268;The Handsome Widower's Second Chance;EllieeAtkinson;AmyMelissaBentley;396;2018-03-30;English;0.0;586.0;0
269;Dirty Glory;PeteGreig;PeteGreig;725;2017-03-29;English;5.0;703.0;2
270;La cadena de oro;CassandraClare,PatriciaNunes,CristinaCarro;LolaSans;1284;2021-04-27;spanish;0.0;614.0;0
271;Securing Zoey;SusanStoker;SavannahPeachwood;611;2020-01-07;English;0.0;836.0;0
272;English Vocabulary Master - Phrasal Verbs in Situations. For Intermediate / Advanced Learners - Proficiency Level B2-C1;DorotaGuzik;MaybeTheatreCompany;67;2017-05-05;English;4.5;233.0;2
273;Full Tilt;DervlaMurphy;EmmaLowe;572;2019-07-31;English;4.5;633.0;3
274;The Game of Life and How to Play It;FlorenceScovelShinn;DixieGlassman;117;2010-11-11;English;4.5;234.0;3
275;A Bedtime Meditation for Kids;AshleyJoseph;NoahDeBiase;29;2020-04-21;English;0.0;47.0;0
276;Prince of Tricks;JaneKindred;BradKing;618;2021-07-10;English;0.0;468.0;0
277;Mrs. Yonkers Is Bonkers!;DanGutman;JaredGoldsmith;54;2014-12-16;English;0.0;305.0;0
279;A Beautiful Day in the Neighborhood (Movie Tie-In);FredRogers,TomJunod-contributor;FredRogers,TomJunod;249;2019-11-05;English;0.0;754.0;0
280;Julen er hjerternes fest;LiseNørgaard;AsgerboPersson;150;2021-10-26;danish;0.0;267.0;0
281;Rasputin;DouglasSmith;P.J.Ochlan;1983;2016-11-17;English;5.0;323.0;1
282;Das Schlossgeheimnis;MartinWidmark;JensWawrczeck;43;2019-08-21;german;0.0;233.0;0
283;The Big Screen Drive-In Theater;DonaldDavis;DonaldDavis;53;2000-10-20;English;0.0;300.0;0
284;The Shipwreck Hunter;DavidL.Mearns;DanWoren;1011;2018-06-26;English;0.0;1003.0;0
285;El passeig encantat;Mattel,MartaCisaMuñoz-traductor;MiriamMonlleo;28;2022-02-02;catalan;0.0;115.0;0
286;Who Was Aretha Franklin?;NicoMedina,WhoHQ;KarenChilton;67;2021-11-02;English;0.0;351.0;0
288;精神統合失調症　寛解までのリアルな歩み;モンゴロイド;飛立未鳥;156;2021-09-25;japanese;0.0;558.0;0
289;やはり俺の青春ラブコメはまちがっている。結　１;渡航;石井一貴,戸田めぐみ;429;2021-12-10;japanese;0.0;837.0;0
290;2012年6月3週目 ヴォイニッチの科学書;中西貴之,BJ;中西貴之,BJ;32;2015-05-25;japanese;0.0;139.0;0
291;Why Food Matters;PaulFreedman;JackdeGolia;329;2021-09-28;English;4.0;820.0;1
292;Sidney Reilly, l'espion gentleman;FrédéricGarnier;FrédéricChevaux;11;2020-10-12;french;0.0;74.0;0
293;Bridged by Love;NancyCorrigan;GaryFurlong;441;2019-09-03;English;0.0;586.0;0
294;The Mirror and the Light;HilaryMantel;BenMiles;2291;2020-03-05;English;5.0;1138.0;13
295;A Matter of Time, Volume 2;MaryCalmes;PaulMorey;829;2013-02-01;English;5.0;469.0;1
296;Nachrichten von Männern;AnikaDecker,KatjaBerlin;RanjaBonalana,SteffenGroth,NanaSpier;201;2021-05-31;german;0.0;367.0;0
297;Friedrich I. Barbarossa. Kaiser des Römischen Reichs;ElkeBader;HeinerHeusinger;145;2010-12-08;german;0.0;367.0;0
298;Sophie und Hans Scholl (1921/18-1943) Basiswissen;BertAlexanderPetzold;CoraHillekamp;66;2021-08-18;german;0.0;434.0;0
299;Santori Reborn;MarisBlack;J.F.Harding;447;2019-02-12;English;5.0;668.0;1
300;Embrace;JessicaShirvington;RebeccaMacauley;596;2012-05-16;English;0.0;820.0;0
301;The Red Bandanna;TomRinaldi;TomRinaldi;393;2016-09-06;English;0.0;879.0;0
302;Show Me Community Helpers;ClintEdwards;anonymous;21;2022-03-15;English;0.0;93.0;0
303;Guesswork;ScottLininger;ColbyElliott;373;2014-06-04;English;0.0;633.0;0
304;The Tristan Betrayal;RobertLudlum;PaulMichael;1004;2003-10-31;English;4.5;221.0;2
305;Willy reser till fyrkantsvärlden;JeffreyArcher,MariaNilsson;MagnusSchmitz;32;2022-03-07;swedish;0.0;32.0;0
306;The Stopover;TLSwan;SebastianYork,CJBloom;778;2019-10-29;English;4.5;1005.0;14
307;Quin cap!;RicardRuizGarzón;MartaBayarri;15;2021-07-26;catalan;0.0;38.0;0
308;Ich, Merlin, und die furchtlosen Ritter;FrankSchwieger;PeterKaempfe,CathlenGawlich,FrankBahrenberg,;334;2020-03-27;german;0.0;602.0;0
309;Spotlight Audio - Wild beauty. The county of Northumberland. 14/2021;div.;div.;60;2021-12-08;german;0.0;501.0;0
310;The Perfect Run 3;MaximeJ.Durand,VoidHerald;EricMichaelSummerer;1094;2022-03-15;English;0.0;1507.0;0
311;The Real Purpose of Parenting;Dr.PhillipBDembo;Dr.PhillipBDembo;407;2012-03-16;English;0.0;938.0;0
312;Culture Smart! Mexico;RusselMaddicks;CharlesArmstrong;219;2020-03-03;English;0.0;1172.0;0
313;Viaggio di un naturalista intorno al mondo;CharlesDarwin;GigiScribani;1419;2019-05-31;italian;0.0;382.0;0
314;Dumb Witness;AgathaChristie;HughFraser;438;2007-10-30;English;4.5;379.0;7
315;The Prince [unabridged];NiccolòMachiavelli;EricNutting;193;2021-10-11;English;0.0;93.0;0
316;The Little Book of Office Bollocks;JosephGelfer;BenOttridge;34;2007-08-07;English;0.0;96.0;0
317;Andre Agassi;OnlineStudioProductions;uncredited;35;2017-12-11;spanish;0.0;94.0;0
318;Together Under the Stars;BerylMatthews;CharlotteWorthing;651;2021-05-20;English;0.0;645.0;0
319;Lais;MariedeFrance,SerafinoBalduzzi;SilviaCecchini;201;2013-06-07;italian;0.0;75.0;0
320;The Hip Chick's Guide to Macrobiotics;JessicaPorter;JessicaPorter;438;2009-12-30;English;0.0;668.0;0
321;Puccini: Madame Butterfly;ThomsonSmillie;DavidTimson;65;2012-10-26;English;0.0;211.0;0
322;Hotaru;KarlAlbrechtHeise;KarlheinzGabor;5;2022-01-04;german;0.0;32.0;0
323;What Are Christians For?;JakeMeador;AdamVerner;385;2022-02-22;English;0.0;586.0;0
324;The Emperor Far Away;DavidEimer;CoreySnow;640;2014-09-16;English;0.0;836.0;0
325;Ben Down;MartinCrump;MartinCrump;2;2021-05-01;English;0.0;94.0;0
326;Awaken Your Third Eye;SusanShumskyDD;ChristinaDelaine;457;2020-10-27;English;0.0;586.0;0
327;L'arbre qui pleure;MarlèneJobert;MarlèneJobert;17;2021-05-17;french;0.0;263.0;0
328;The Heretic's Handbook;JonathanBlack;SimonMattacks;158;2019-03-01;English;0.0;335.0;0
329;Deep Sleep;StevenKonkoly;SethPodowitz;618;2022-02-01;English;0.0;1008.0;0
330;Essays of E. B. White;E.B.White;MalcolmHillgartner;738;2016-06-07;English;0.0;820.0;0
331;Clanless;JenniferJenkins;EmilyEllet;512;2019-08-09;English;0.0;1172.0;0
332;The Autobiography of Andrew Carnegie and the Gospel of Wealth;AndrewCarnegie;DavidRintoul,LucyScott;688;2020-10-26;English;5.0;727.0;1
333;Reiseskildring - London [Travelogue - London];KarinHelenaSjøberg;MarianneHoffEngesland;66;2010-09-03;norwegian;0.0;129.0;0
334;Religion and the Limits of Modern Rationalism;John-MichaelKuczynski;NormajeanGradsky;50;2021-11-17;English;0.0;93.0;0
335;Super Soldiers;JasonInman;EricMichaelSummerer;332;2019-06-15;English;0.0;586.0;0
336;No More Mean Girls;KatieHurley;KatieHurley;495;2018-01-30;English;0.0;879.0;0
337;Shade's Fall;JamieBegley;ElizabethHart;897;2014-11-24;English;0.0;1055.0;0
338;Путь выдающихся людей. Убеждения, принципы, привычки;SmartReading;ОльгаГанкова;47;2020-09-04;russian;0.0;132.0;0
339;Erfolgreich über 50;KatharinaStarlay;KatharinaStarlay;81;2021-05-17;german;0.0;267.0;0
340;Personal Training;CentreofExcellence;BrianGreyson;213;2021-02-25;English;0.0;469.0;0
341;Il sistema periodico;PrimoLevi;MassimoPopolizio;558;2016-03-24;italian;0.0;459.0;0
342;The Men Who Raised the Bar;ChrisWaters;DavidThorpe;437;2020-12-10;English;0.0;493.0;0
343;Final Draft;RileyRedgate;MariandTorres;453;2018-06-13;English;0.0;422.0;0
344;America and Iran;JohnGhazvinian;JeffHarding;1563;2020-10-01;English;0.0;1138.0;0
345;Call It Wonder;KateEvans;LeeRivers;606;2022-01-03;English;0.0;305.0;0
346;Kings and Queens of England;JenGreen;BenjaminSoames;157;2013-02-05;English;0.0;422.0;0
347;Matisse: The Life;HilarySpurling;SophieAldred;1287;2018-11-06;English;0.0;987.0;0
348;CiberPsicología [CyberPsychology];Dr.JuanMoisésdelaSerna;HermógenesAlonso;128;2020-02-16;spanish;0.0;164.0;0
349;Being a Rockefeller, Becoming Myself;EileenRockefeller;EileenRockefeller;634;2013-09-12;English;4.0;879.0;1
350;La Petite Fabrique du bonheur;AliceQuinn;KatherinePageon;642;2022-02-04;french;0.0;717.0;0
351;В военную академию требуется [In the Military Academy Is Required];NadezhdaMamaeva;NellyNovikova;594;2020-01-02;russian;0.0;234.0;0
352;Prima lettera ai Tessalonicesi;AutoriVari;SimoneBedetti;17;2021-12-03;italian;0.0;113.0;0
353;Becoming Kareem;KareemAbdul-Jabbar,RaymondObstfeld;KareemAbdul-Jabbar;348;2017-11-21;English;4.5;500.0;2
354;Die künstlichen Paradiese;CharlesBaudelaire;FriedrichFrieden;144;2021-03-29;german;0.0;334.0;0
355;Mi primer catecismo [My First Catechism];EquipoSusaeta;CristinaTenorio;8;2020-08-17;spanish;0.0;115.0;0
356;2019: How Modi Won India;RajdeepSardesai;RajivDadia;797;2020-06-28;English;4.0;836.0;30
357;Is Science Enough?;AvivaChomsky;MoeEgan;486;2022-04-05;English;0.0;1206.0;0
358;Murder Goes to Market;DaisyBateman;CallieBeaulieu;518;2022-01-31;English;0.0;586.0;0
359;第478回 新刊ラジオ第2部プレミアム　;矢島雅弘,石橋遊;矢島雅弘,石橋遊;42;2018-05-16;japanese;0.0;139.0;0
360;日本一難しいはなし〜必ず眠くなる〜その7 (10話収録);青木幹和;青木幹和;103;2016-02-01;japanese;0.0;603.0;0
361;The Subtle Body;CyndiDale;RomyNordlinger;926;2019-02-12;English;0.0;703.0;0
362;Undercover Wolf;PaigeTyler;JenniferBlom;536;2021-06-03;English;0.0;1172.0;0
363;Geheimnisvolle Weihnachtszeit;ElkeBräunling,PaulG.Walter;PaulG.Walter,ElkeBräunling;42;2008-10-10;german;0.0;166.0;0
364;Patience and Sarah;IsabelMiller;JeanSmart,JanisIan;345;2015-09-15;English;5.0;668.0;1
365;The 4 Habits of Joy Filled Marriages;MarcusWarner,ChrisCoursey;MarcusWarner,ChrisCoursey;171;2019-04-25;English;0.0;422.0;0
366;Pure;RoseCartwright;CharlyClive;497;2020-09-10;English;5.0;569.0;1
367;L'incanto delle piccole cose;IlariaPalmosi;ValentinaDeMarchi;320;2021-10-28;italian;0.0;267.0;0
368;Breve historia del Románico [Brief History of the Romanesque] (Narración en Castellano);CarlosJavierTaranillaDeLaVarga;DavidMoralesMartin;448;2019-04-18;spanish;0.0;691.0;0
370;The Student Loan Scam;AlanMichaelCollinge;AdamRobinwitz;280;2009-12-23;English;0.0;668.0;0
372;The Flavor of Wood;ArturCisar-Erlach;TimothyAndrésPabon;477;2019-05-21;English;0.0;837.0;0
373;[100巻] Peter Pan（ピーターパン・英語版）;YellowBirdProject;KayShibatani;46;2021-08-12;japanese;0.0;139.0;0
374;October Child;LindaBoströmKnausgård;JaneWeatherstone;304;2021-08-05;English;0.0;759.0;0
376;Kid Scientists;DavidStabler;PeteCross;143;2020-02-11;English;0.0;1172.0;0
377;The Monkey King;ShobhaViswanath;SaeedJaffrey;27;2020-03-06;English;5.0;284.0;4
378;My Drunk Kitchen Holidays!;HannahHart;HannahHart;234;2019-10-22;English;0.0;703.0;0
379;Acid for the children (Italian edition);Flea;RiccardoMei;625;2021-11-02;italian;0.0;460.0;0
380;Shakti;DK,NilimaChitgopekar,ShashiTharoor-foreword;RitaSharma;577;2022-03-03;English;0.0;888.0;0
381;Bullets and Silver;NikJames;EricG.Dove;473;2022-01-25;English;0.0;1172.0;0
382;Im Achterhoek und West-Münsterland;MatthiasMorgenroth,ReinhardKober;HenningFreiberg,IngridGloede;65;2008-08-07;german;0.0;334.0;0
383;Think Again;AdamGrant;AdamGrant;401;2021-02-04;English;4.5;888.0;400
384;Choose to Lose;ChrisPowell;ChrisPowell;290;2014-01-14;English;3.0;500.0;1
385;Nauetakuan, un silence pour un bruit [Silence for Sound];NatashaKanapéFontaine;SoleilLaunière;396;2021-11-24;french;0.0;454.0;0
386;L'Héritière;Jeanne-ADebats;AdelineChetail;607;2021-04-22;french;0.0;755.0;0
387;PJ Masks - Sigues un heroi!;eOne,AnaC.AlcainaPerez-traductor;RogerSerradell;23;2022-01-24;catalan;0.0;38.0;0
388;The Water Blade;StuartJaffe;JamesAndersonFoster;488;2022-01-18;English;0.0;586.0;0
389;The Histories;Polybius,W.R.Paton-translator;JonathanBooth;2258;2021-10-05;English;0.0;1518.0;0
390;Miss Wilton's Waltz;JosiS.Kilpack;CassandraCampbell;546;2018-05-01;English;0.0;938.0;0
391;1000 cosas que debes saber sobre los mundiales de fútbol (Narración en Castellano) [1000 Things You Should Know about the World Cups (Castilian Narration)];JuanIgnacioGallardoTome,RafaelGonzalezPalenciaJimenez;MiguelColl;503;2020-07-10;spanish;0.0;691.0;0
392;第652回 新刊ラジオ第2部プレミアム　;矢島雅弘,石橋遊;矢島雅弘,石橋遊;23;2015-06-01;japanese;0.0;139.0;0
394;Brilliant Life;MichaelHeppell;MichaelHeppell;392;2010-07-22;English;0.0;569.0;0
395;Mujeres de Bombay (Narración en Castellano) [Women of Bombay];JaumeSanllorente;TitoTrifol;243;2019-04-03;spanish;0.0;537.0;0
396;The Weirdo;TheodoreTaylor;GeorgeGuidall;414;2013-02-26;English;0.0;703.0;0
397;Changes: The Dresden Files, Book 12;JimButcher;JamesMarsters;926;2010-04-06;English;5.0;1256.0;12
398;The 10% Entrepreneur;PatrickJ.McGinnis;ElijahAlexander;352;2016-04-28;English;4.5;615.0;4
399;Night: CliffsNotes;MaryamRiessM.A.;LukeDaniels;149;2011-03-16;English;0.0;352.0;0
400;Living with Shakespeare;HaroldBloom-foreword,SusannahCarson-editor;MichaelMcConnahie,SimonPrebble,NapoleonRyan,;959;2014-07-01;English;0.0;1003.0;0
401;Les Peintres;AlbinQuéru,PatriciaCrété,ClémentineBaron;LéopoldRoy,Kern;55;2020-09-29;french;0.0;604.0;0
402;En Comunidad;CarlaEspaña,LuzYadiraHerrera;CarlaEspaña,LuzYadiraHerrera;370;2021-04-20;English;0.0;862.0;0
403;Moravia;MarceloLuján;MonoVasquez;308;2021-11-29;spanish;0.0;268.0;0
404;Macbeth United;MichaelRosen;EwanGoddard;194;2022-02-01;English;0.0;797.0;0
405;Stampede;BrianCastner;BrianCastner;488;2021-04-13;English;0.0;879.0;0
406;The Rule of Laws;FernandaPirie;TaniaRodrigues;1125;2022-02-03;English;0.0;721.0;0
407;新刊ラジオ第2部プレミアム　第823回;矢島雅弘,石橋遊;矢島雅弘,石橋遊;25;2018-05-16;japanese;0.0;139.0;0
408;El deseo de una bruja sin escoba;AntoniaJ.Corrales;LauraCarrerodelTío;638;2022-02-06;spanish;0.0;691.0;0
409;Practical Wisdom [Russian Edition];BarrySchwartz,KennethSharpe;StanislavKoncevich;662;2016-08-11;russian;0.0;234.0;0
410;My Favorite Bible Stories: My First New Testament Bible Stories;KimMitzoThompson,KarenMitzoHilderbrand,TwinSisters;TwinSisters;35;2012-08-13;English;0.0;93.0;0
411;Dave Barry's Money Secrets;DaveBarry;DickHill;330;2008-10-17;English;0.0;585.0;0
412;Little Gypsy;RoxyFreeman;SusieRiddell;456;2011-12-08;English;0.0;607.0;0
413;Unnatural Deeds;CynBalog;PamelaLorence;480;2016-12-27;English;0.0;820.0;0
414;Organic Gardening: 5 Books in 1;RachelMartin;LizzieRichards;988;2020-02-01;English;0.0;836.0;0
415;Quem é o seu próximo jubileu de ouro da ciben 2018 [Who Is Your Next Ciben 2018 Golden Jubilee];HelenaRaquel;HelenaRaquel;75;2021-11-18;portuguese;0.0;375.0;0
416;Brooklyn Noir;TimMcLoughlin-editor;MichaelBraun,AdamChase,KarenChilton,;680;2014-11-25;English;0.0;836.0;0
417;U-Turn - Irgendwann kommt jeder an (Ein Roadtrip - Autorenlesung);JoSchuttwolf;JoSchuttwolf,KlausMariaDechant;233;2022-01-07;german;0.0;334.0;0
418;The Social Psychology of Sexual Interactions;RoyBaumeister,DianneTice;RoyBaumeister,DianneTice;485;2022-01-03;English;0.0;328.0;0
420;La scelta di Colette;TeaStilton;TeaStilton;65;2021-09-01;italian;0.0;267.0;0
421;Chasing Stars;HelenDouglas;PollyLee;582;2014-06-05;English;0.0;609.0;0
422;Resumen de Can't Buy Me Like de Bob Garfield y Doug Levy;PMPManagementFactory;PMPManagementFactory;9;2021-06-09;spanish;0.0;307.0;0
423;Coaching for the Love of the Game;JenniferL.EtnierPhD;RandyeKaye;395;2020-03-16;English;0.0;586.0;0
424;The Innovation Book;MaxMckeown;MaxMckeown;486;2015-02-17;English;0.0;569.0;0
425;Hindi - Chinese. a complete method;J.M.Gardner;Tulika,Lucie;238;2019-11-11;Hindi;0.0;284.0;0
426;Der Angst verfallen;MarkFranley;PeterWeiß;922;2021-12-16;german;0.0;669.0;0
427;Drop Trooper Books 1-4;RickPartlow;JamesPatrickCronin;1992;2021-11-16;English;0.0;1003.0;0
428;Otto Van Bismarck: El canciller de hierro [Otto Van Bismarck: The Iron Chancellor];OnlineStudioProductions;uncredited;32;2015-03-25;spanish;0.0;117.0;0
429;Billionaire Unexpected: Jax;J.S.Scott;ElizabethPowers,JacobMorgan;368;2021-04-13;English;0.0;668.0;0
430;The Letter;MichelleVernal;KatherinePress;547;2021-09-16;English;0.0;645.0;0
431;Культурный код. Секреты чрезвычайно успешных групп и организаций;SmartReading;ТатьянаМаерс;37;2020-09-04;russian;0.0;132.0;0
432;How to Master the Art of Selling;TomHopkins;BillFoote;928;2017-04-11;English;5.0;585.0;6
433;In Case You Missed It;SarahDarerLittman;DaraRosenberg;459;2016-10-11;English;0.0;586.0;0
434;Science and the Akashic Field;ErvinLaszlo;TomPile;412;2016-01-07;English;0.0;668.0;0
435;Merciless Monarchs and Ruthless Royalty;MiriamAronin;BookBuddyDigitalMedia;30;2017-06-28;English;0.0;164.0;0
436;Dumb Luck and the Kindness of Strangers;JohnGierach;DavidColacci;449;2020-06-02;English;0.0;586.0;0
437;Imperfect Union;SteveInskeep;SteveInskeep;828;2020-01-14;English;0.0;1131.0;0
438;Holding Fire;AprilHunt;BrookeHayden;517;2017-03-28;English;0.0;500.0;0
439;The Key to Happiness;MeikWiking;MeikWiking;267;2019-03-07;English;4.0;615.0;8
440;Flash's Song;KayPfaltz;GayleHendrix;424;2013-09-03;English;0.0;668.0;0
441;Mia feiert Weihnachten;IsabellaMohn;FriedelMorgenstern;80;2014-08-19;german;0.0;233.0;0
442;Turkey Red;FrancesGilchristWood;WalterZimmerman;35;2007-06-25;English;0.0;166.0;0
443;Stories We Tell Ourselves;RichardHolloway;RichardHolloway;472;2020-07-16;English;0.0;797.0;0
444;Der süße Brei;BrüderGrimm;ReinerUnglaub;2;2022-04-04;german;0.0;65.0;0
445;Come far denaro in modo sano;BenjaminFishAustin;LorenzoVisi;94;2013-11-01;italian;0.0;190.0;0
446;In Search of the Christian Buddha;DonaldS.LopezJr.,PeggyMcCracken;EricJasonMartin;455;2014-04-07;English;0.0;668.0;0
447;Kondensmelk [Condensed Milk];ChristienNeser;KarenAugusta;255;2021-07-05;afrikaans;0.0;258.0;0
448;Gone;LindaK.Olson;EmilyDurante;418;2021-04-06;English;0.0;586.0;0
449;Global Inequality;BrankoMilanovic;JoeBarrett;436;2017-07-11;English;0.0;891.0;0
450;Caution in the Kitchen!;JenniferBoothroyd;Intuitive;4;2020-01-22;English;0.0;164.0;0
451;The Mystwick School of Musicraft;JessicaKhoury;SuzyJackson;498;2019-09-05;English;5.0;266.0;27
452;Dürnsteiner Puppentanz;BernhardGörg;StefanBergmann;683;2022-01-05;german;0.0;434.0;0
453;Ufos;LeonardLöwe;LeonardLöwe;384;2020-10-16;german;0.0;568.0;0
454;Bookish and the Beast;AshleyPoston;CaitlinKelly,CurryWhitmire;441;2020-08-04;English;4.5;773.0;10
455;When Miss Parson Forgot Halloween;GlennG.Coats;HighlightsforChildren;5;2018-09-04;English;0.0;46.0;0
456;Stolz und Vorurteil: Eine Buchzusammenfassung;RobertSasse,YannickEsters;YannickEsters;18;2016-03-21;german;0.0;166.0;0
457;Lord Byron: Selected Poems;GeorgeGordonByron;FrederickDavidson;179;2011-12-08;English;0.0;374.0;0
458;What Your Customer Wants and Can’t Tell You;MelinaPalmer;RachelPerry;492;2021-05-11;English;5.0;585.0;1
459;The Sweetest Burn;JeanieneFrost;TaviaGilbert;548;2017-06-27;English;0.0;820.0;0
460;Step by Step 1 (Spanish Edition);AdrianaMoody;AdrianaMoody;40;2020-09-24;spanish;0.0;115.0;0
461;Bunch of Amateurs;JackHitt;PeterColburn;634;2012-05-15;English;0.0;1005.0;0
462;Astounding;AlecNevala-Lee;SeanRunnette;792;2018-10-23;English;0.0;1688.0;0
463;Supernatural Strategies for Making a Rock ’n’ Roll Group;IanF.Svenonius;IanF.Svenonius;410;2020-01-14;English;0.0;702.0;0
464;Rachel Hatch Thriller Series Books 4-6;L.T.Ryan,BrianShea;MarnyeYoung;1168;2021-07-20;English;0.0;836.0;0
465;Sustainability;JeremyL.Caradonna;EdoardoBallerini;525;2014-12-17;English;5.0;836.0;1
466;Lievito Madre;SaraMarino;DarioZompi;100;2021-04-27;italian;0.0;420.0;0
467;Elfenkönig;HollyBlack;LauraSophiaLandauer;582;2021-08-03;german;0.0;602.0;0
468;Trauma and Recovery;JudithLewisHermanMD;AlisonMathews;750;2019-12-10;English;5.0;500.0;1
469;The Dark Divine;BreeDespain;EileenStevens;528;2009-12-11;English;0.0;585.0;0
470;Gemma. Sei glücklich oder stirb;CharlotteRichter;FranciskaFriede;795;2021-04-29;german;0.0;585.0;0
471;Your Respiratory System;JudithJango-Cohen;Intuitive;15;2020-01-24;English;0.0;164.0;0
472;Barbarian’s Taming;RubyDixon;HollieJackson,MasonLloyd;404;2018-10-09;English;0.0;586.0;0
474;Конкуренция;SmartReading;ДмитрийЕвстратов;25;2020-07-31;russian;0.0;132.0;0
475;The Good Death;AnnNeumann;SuzanneToren;524;2016-04-13;English;0.0;668.0;0
476;The Shallows;NicholasCarr;PaulMichaelGarcia;606;2011-06-16;English;4.5;721.0;18
477;So That Happened;JonCryer;JonCryer;548;2015-04-07;English;5.0;1005.0;4
478;Tera Lakshya [Your Goal];Sirshree;Sirshree;110;2020-07-14;Hindi;4.5;350.0;2
479;Basilica of Santa Maria della Roccella Borgia Italy (ENG);CaterinaAmato;KarolinaStarin;13;2017-08-22;English;0.0;113.0;0
481;A Sheepdog Called Sky;HelenPeters;NnekaOkoye;102;2021-09-16;English;0.0;379.0;0
482;What Will You Get Ben Illurak?;DianaC.Conway;HighlightsforChildren;3;2018-09-04;English;0.0;585.0;0
483;Walking with Peety;EricO'Grey,MarkDagostino-featuring;EricO'Grey;463;2017-10-10;English;0.0;500.0;0
484;In Shock;DrRanaAwdish;DrRanaAwdish,TeriSchnaubelt;541;2018-07-05;English;0.0;683.0;0
485;Arthur Conan Doyle;HeskethPearson;TimPigott-Smith;157;2002-12-29;English;0.0;422.0;0
486;Staley Fleming's Hallucination;AmbroseBierce;AshleyBogert;6;2007-12-30;English;0.0;65.0;0
487;Learn English: Ultimate Getting Started with English Box Set, Lessons 1-55;InnovativeLanguageLearning;InnovativeLanguageLearning;584;2011-09-07;English;1.0;1172.0;1
488;Bloody Mary;CarollyErickson;CorrieJames;1431;2013-02-24;English;0.0;1338.0;0
489;Pitching in a Pinch;ChristyMathewson;KyleTait;362;2019-08-20;English;0.0;702.0;0
490;Developing the Leader Within You 2.0;JohnC.Maxwell;JohnC.Maxwell;464;2018-02-06;English;5.0;1181.0;20
491;Les Contes de Beedle le Barde [The Tales of Beedle the Bard];J.K.Rowling;FrançoiseCarrière,SlimaneYefsah,AlyssonParadis,;95;2021-04-29;french;0.0;652.0;0
492;The Haunted House;AnnabelleSami;ZeniaStarr;212;2021-04-08;English;0.0;1063.0;0
493;The World of Yesterday;StefanZweig,AntheaBell-translator;DavidHorovitch;1070;2017-05-10;English;4.5;1226.0;2
494;第737回 新刊ラジオ第2部プレミアム　;矢島雅弘,石橋遊;矢島雅弘,石橋遊;21;2018-05-16;japanese;0.0;139.0;0
495;Los devorasueños;JacquelineWest,LibradaPiñero-traductor;EvaAndrés;525;2022-01-25;spanish;0.0;499.0;0
496;Tin Can Man;E.J.Jernigan;KentCassella;353;2011-04-18;English;0.0;668.0;0
497;Lært op til at dræbe;Variousauthors;BjarneMouridsen;84;2021-12-03;danish;0.0;233.0;0
498;Cover Her Face;P.D.James;DanielWeyman;432;2015-04-02;English;4.0;759.0;4
499;超催眠シリーズVol.03 『心と体が楽になる リラクゼーション・快眠』;吉田かずお;吉田かずお;32;2015-11-03;japanese;0.0;697.0;0
500;The Earl's New Bride;FrancesFowlkes;AlisonLarkin;373;2015-12-15;English;0.0;773.0;0
501;Divorce Poison;Dr.RichardA.Warshak;DanielPenz;884;2015-10-20;English;0.0;891.0;0
502;Enquiry Concerning Political Justice;WilliamGodwin;MichaelLunts;1669;2020-09-30;English;0.0;1530.0;0
503;Mein Körper ist ein Superheld;MatthiasvonBornstädt;MariaKoschny,JakobRoden;50;2021-02-15;german;0.0;300.0;0
504;第723回 新刊ラジオ第2部プレミアム　;矢島雅弘,石橋遊;矢島雅弘,石橋遊;16;2018-05-16;japanese;0.0;139.0;0
505;Assembly;NatashaBrown;PippaBennett-Warner;118;2021-06-03;English;5.0;615.0;1
506;In Every Generation;KendareBlake;SarahMollo-Christensen;720;2022-01-04;English;0.0;445.0;0
507;Unique Hustle;WillCastro,DJKhaled-Foreword,MarkFinkelpearl;WillCastro;177;2019-07-16;English;0.0;586.0;0
