;name;author;narrator;time;releasedate;language;stars;price;ratings
59;Enticed by the Corsair;RubyDixon;HollieJackson,MasonLloyd;257;2018-12-18;English;3.0;469.0;1
60;Victory for the Ops Room Girls;VickiBeeby;EleanorYates;553;2021-08-01;English;0.0;1063.0;0
61;Не буду просить прощения;СофьяЛеонидовнаПрокофьева;ЛюбовьПоволоцкая;45;2021-12-30;russian;0.0;99.0;0
62;A Midterm Night's Scheme;TrinaRobbins;BookBuddyDigitalMedia;24;2017-06-27;English;0.0;469.0;0
63;The Eye of the I;DavidR.HawkinsMDPhD;PeterLowndsPhD;857;2020-09-01;English;5.0;562.0;1
64;The Goose That Laid the Golden Egg;MarkWhite,SaraRojoPérez;anonymous;3;2022-03-28;English;0.0;82.0;0
65;The Truth About Witches;EricBraun,RobertSquier;anonymous;6;2022-03-24;English;0.0;93.0;0
66;Feels like Forever;SarahHeine;UllaWagener;632;2021-12-23;german;0.0;568.0;0
67;Upstairs at the Roosevelts';CurtisRoosevelt;RobertsonDean;423;2017-07-01;English;0.0;820.0;0
68;Il libro della vita;Teresad'Avila;SilviaCecchini;622;2016-10-20;italian;0.0;190.0;0
69;脱炭素サバイバル(週刊東洋経済ｅビジネス新書Ｎo.374);週刊東洋経済編集部;海老塚久蔵;156;2022-02-02;japanese;0.0;226.0;0
70;Il Grande Dentro di Te;ChristianD.Larson;StefanoTrillini;118;2021-08-05;italian;0.0;305.0;0
71;[18巻] 俺、ツインテールになります。　１８: （小学館）;水沢夢;吉岡麻耶;442;2022-03-11;japanese;0.0;837.0;0
72;P'tit Loup fait une colère;OrianneLallemand;WillProduction;3;2021-07-28;french;0.0;74.0;0
73;Awakening Artemis;VanessaChakour;VanessaChakour;867;2022-02-10;English;0.0;888.0;0
74;Haunting Blackie;LaurannDohner;MindyKennedy;430;2014-05-13;English;0.0;668.0;0
75;Tied to a Boss 3;J.L.Rose;HoneyJones;397;2020-11-17;English;0.0;585.0;0
76;Women and Gender in Islam;LeilaAhmed,KeciaAli-foreword;SoneelaNankani;851;2021-03-01;English;0.0;703.0;0
77;Ruling over Monarchs, Giants & Stars;ByronMotley,BobMotley;RichardAllen;505;2013-02-23;English;0.0;668.0;0
78;The Breastfeeding Book, Revised Edition;MarthaSearsRN,WilliamSearsMD;ColeenMarlo;844;2018-12-18;English;0.0;937.0;0
79;Bite Me If You Can;LynsaySands;RickRobertson;572;2009-10-27;English;5.0;1406.0;1
80;Occupational Hazards;RoryStewart;RoryStewart;764;2007-08-09;English;0.0;755.0;0
81;Healing Resistance;KazuHaga,BernardLaFayetteJr.-foreword,DavidC.Jehnsen-foreword;TomParks;601;2020-10-27;English;0.0;586.0;0
82;Nero: Life of a Roman Emperor;Suetonius;JonathanWaite;94;2016-02-25;English;0.0;376.0;0
83;Il Fronteggiatore;AntonioMoresco,SusiPietri;GiusyFrallonardo,AlbertoMolinari;162;2021-11-11;italian;0.0;190.0;0
84;Die Vögel;Aristophanes;SvenGörtz;128;2020-07-03;german;0.0;334.0;0
85;Le tombeau du tyran;RickRiordan;RonanDucolomb;710;2021-05-06;french;0.0;755.0;0
86;Герои России;ВячеславБондаренко;АлександрКотов;309;2021-01-28;russian;0.0;166.0;0
87;Kat Wolfe Takes the Case;LaurenStJohn;LauraKirman;403;2019-04-04;English;0.0;323.0;0
88;Verschwörungen;UmbertoEco;AxelWostry;165;2021-08-23;german;0.0;267.0;0
89;Revolution of Values;JonathanWilson-Hartgrove;SeanPratt;321;2019-12-03;English;0.0;586.0;0
90;Life after Death;DineshD’Souza;RobertsonDean;472;2009-11-20;English;5.0;702.0;1
91;Cleopatra's Moon;VickyA.Shecter;KirstenPotter;745;2011-08-01;English;0.0;703.0;0
92;Margherita Dolcevita;StefanoBenni;SaraLabidi;355;2021-07-15;italian;0.0;267.0;0
93;Heinrich Heine;PeterBraun;AlexanderRadszun,IngeborgWunderlich,FriedhelmPtok;120;2013-02-04;german;0.0;401.0;0
94;Edith Piaf;ThomasTippner;MatthiasErnstHolzmann;57;2021-06-18;german;0.0;233.0;0
96;Tatalog;HarishBhat;ArishBhiwandiwala;352;2019-12-11;English;4.5;1005.0;34
97;El cuervo [The Raven];EdgarAllanPoe;JoaquinRodrigoMadrigal;5;2019-06-19;spanish;0.0;70.0;0
98;Bernie Ecclestone;TerryLovell;NormanGilligan;1342;2013-10-21;English;0.0;266.0;0
100;To Charles Fort, with Love;CaitlínR.Kiernan;RobertFass,PaulWoodson,KevinKenerly,;594;2021-03-30;English;0.0;820.0;0
101;Always Kiss the Corpse on Whidbey Island;SandyFrancesDuncan,GeorgeSzanto;JohnMorgan;716;2013-10-08;English;0.0;836.0;0
102;Eine Reise durch Mexico (Yukatan);IngaOpitz,JoséAntonioSalinas;HarryKühn,MarianneGraffam;83;2011-04-07;german;0.0;166.0;0
103;Eyes Wide Open;IsaacLidsky;IsaacLidsky;516;2017-03-14;English;0.0;1005.0;0
104;The Faraway Horses;BuckBrannaman,WilliamReynolds;JohnPruden;367;2011-12-05;English;0.0;679.0;0
105;Misterio en Haven Manor;KristiAnnHunter;AdrianaSananes;894;2021-06-18;spanish;0.0;946.0;0
106;The Lone Hunt: Midnight Hunters, Book 4;L.L.Raand;MaxineMitchell;674;2013-12-10;English;0.0;942.0;0
107;Musterwechsel;MarkusVäth;TorstenCreutzburg;476;2022-01-31;german;0.0;669.0;0
108;Märchen von Hans Christian Andersen 3;HansChristianAndersen;KarlheinzGabor;158;2022-01-03;german;0.0;166.0;0
109;The Villain;L.J.Shen;AvaErickson,JacobMorgan;711;2020-12-20;English;5.0;836.0;4
110;The Third Man Factor;JohnGeiger;SeanPratt;484;2013-12-20;English;0.0;820.0;0
111;Year of the Monsoon;CarenJ.Werlinger;LisaLarsen;528;2019-06-04;English;4.0;668.0;1
112;Gefährliche Rauchzeichen;JörgHagemann;CathrinBürger;97;2019-01-18;german;0.0;233.0;0
113;Saving Sadie;JoalDerseDauer,ElizabethRidley;AnnRichardson;395;2019-05-28;English;0.0;586.0;0
114;ザ・ビートルズを求めてロンドンへ;星加ルミ子;星加ルミ子;20;2015-12-10;japanese;0.0;139.0;0
115;The Great Poets: William Wordsworth;WilliamWordsworth;JasperBritton,OliverFordDavies;78;2011-10-05;English;0.0;351.0;0
116;Eagle in the Sky;WilburSmith;ByronMondahl;790;2019-03-05;English;5.0;721.0;2
117;Un capitano;FrancescoTotti,PaoloCondò;MassimilianoPazzaglia;757;2021-01-13;italian;0.0;382.0;0
118;Indigenous Writes;ChelseaVowel;BrianneTucker;961;2020-11-15;English;0.0;680.0;0
119;Dawn of Surrender;LilianaHart;NoahMichaelLevine,CarlyRobins;114;2018-02-20;English;0.0;233.0;0
120;Run for Your Life;MarkCucuzzella;MarkCucuzzella;511;2018-09-18;English;4.0;879.0;6
121;Everyday Calming Rituals;TaniaAhsan;AntoniaBeamish;274;2020-03-05;English;0.0;569.0;0
123;Wikinomics;DonTapscott,AnthonyD.Williams;AlanSklar;819;2007-04-06;English;0.0;891.0;0
124;Hear The Quran Volume 11;AbdullahYusufAli;AurangzebIqbal;77;2011-07-18;English;0.0;152.0;0
125;Stand by Me (German edition);HelenaHunting;SandraVoss,JesseGrimm;631;2021-08-27;german;0.0;468.0;0
126;The Pilgrim's Progress;JohnBunyan,C.J.Lovik-editor;TimLundeen;361;2009-09-30;English;0.0;668.0;0
127;Forestier selon Louise: pas d'choker pas d'collier [Forestier According to Louise: No Choker, No Collar];LouiseForestier;LouiseForestier;379;2019-07-29;french;0.0;700.0;0
